Ciudad,Dia (AAAA/MM/DD),Hora,Previsión (°C),Velocidad (km/h),Rachas (km/h),Lluvias (mm),Nieve (cm),Nubes (%),Tormenta (%),Humedad (%),Presión (hPa),Sensación térmica (°C),Prob. precipitación (%),Hora observación,Visibilidad
a-coruna,2018/11/8,Ahora,12 ,15 ,23 ,--,--,--,--,82 ,1007 ,10,NULL,12:25,Ilimitada
a-coruna,2018/11/8,13:00,13 ,21 ,32 ,1.8 ,0 ,100,0,85,1007 ,10,90,NULL,NULL
a-coruna,2018/11/8,14:00,12 ,20 ,29 ,0.5 ,0 ,80,0,86,1007 ,10,70,NULL,NULL
a-coruna,2018/11/8,15:00,12 ,16 ,23 ,0.5 ,0 ,80,0,88,1007 ,12,70,NULL,NULL
a-coruna,2018/11/8,16:00,12 ,13 ,20 ,0.5 ,0 ,80,0,89,1007 ,12,70,NULL,NULL
a-coruna,2018/11/8,17:00,12 ,13 ,20 ,0.8 ,0 ,80,0,89,1008 ,10,90,NULL,NULL
a-coruna,2018/11/8,18:00,12 ,14 ,22 ,0.8 ,0 ,80,0,89,1010 ,10,90,NULL,NULL
a-coruna,2018/11/8,19:00,11 ,14 ,22 ,0.8 ,0 ,80,0,88,1011 ,11,90,NULL,NULL
a-coruna,2018/11/8,20:00,11 ,14 ,21 ,0.5 ,0 ,50,0,87,1012 ,11,60,NULL,NULL
a-coruna,2018/11/8,21:00,11 ,13 ,19 ,0.5 ,0 ,50,0,86,1013 ,11,60,NULL,NULL
a-coruna,2018/11/8,22:00,11 ,12 ,19 ,0.5 ,0 ,50,0,84,1014 ,11,60,NULL,NULL
a-coruna,2018/11/8,23:00,11 ,13 ,19 ,0.1 ,0 ,50,0,83,1015 ,11,40,NULL,NULL
a-coruna,2018/11/9,00:00,11 ,13 ,19 ,0.1 ,0 ,50,0,82,1015 ,9,40,NULL,NULL
a-coruna,2018/11/9,01:00,11 ,13 ,20 ,0.1 ,0 ,50,0,81,1016 ,9,40,NULL,NULL
a-coruna,2018/11/9,02:00,11 ,14 ,21 ,0 ,0 ,40,0,81,1016 ,9,10,NULL,NULL
a-coruna,2018/11/9,03:00,10 ,14 ,21 ,0 ,0 ,40,0,82,1016 ,8,10,NULL,NULL
a-coruna,2018/11/9,04:00,10 ,15 ,23 ,0 ,0 ,40,0,82,1016 ,8,10,NULL,NULL
a-coruna,2018/11/9,05:00,10 ,16 ,24 ,0 ,0 ,70,0,82,1016 ,8,20,NULL,NULL
a-coruna,2018/11/9,06:00,10 ,18 ,27 ,0 ,0 ,70,0,81,1016 ,8,20,NULL,NULL
a-coruna,2018/11/9,07:00,11 ,20 ,30 ,0 ,0 ,70,0,81,1015 ,8,20,NULL,NULL
a-coruna,2018/11/9,08:00,11 ,22 ,33 ,0 ,0 ,100,0,82,1015 ,9,30,NULL,NULL
a-coruna,2018/11/9,09:00,12 ,25 ,37 ,0 ,0 ,100,0,82,1014 ,9,30,NULL,NULL
a-coruna,2018/11/9,10:00,12 ,27 ,41 ,0 ,0 ,100,0,83,1014 ,10,30,NULL,NULL
a-coruna,2018/11/9,11:00,13 ,30 ,45 ,0 ,0 ,100,0,83,1013 ,10,30,NULL,NULL
a-coruna,2018/11/9,12:00,14 ,32 ,48 ,0 ,0 ,100,0,84,1012 ,11,30,NULL,NULL
a-coruna,2018/11/9,13:00,14 ,34 ,51 ,0 ,0 ,100,0,84,1011 ,12,30,NULL,NULL
a-coruna,2018/11/9,14:00,15 ,34 ,51 ,1.7 ,0 ,100,0,86,1010 ,13,90,NULL,NULL
